start_id,end_id
482,1
389,3
388,1
387,1
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,2
378,1
377,1
376,1
375,2
374,1
373,1
372,1
371,1
370,1
369,1
368,1
367,1
366,2
365,1
364,1
363,1
362,1
361,1
360,1
357,3
356,1
355,1
354,1
353,2
352,3
351,1
350,1
349,1
348,1
347,1
346,1
345,1
344,2
343,1
342,1
341,1
340,1
339,1
338,1
337,1
336,1
335,1
334,1
333,1
332,3
331,1
330,1
329,2
328,2
327,2
326,1
325,3
324,3
323,1
322,3
321,3
319,1
318,1
317,1
315,1
314,1
312,1
311,1
310,1
307,1
306,1
305,3
304,1
303,1
302,1
301,1
300,1
299,1
297,1
296,1
295,1
294,3
293,1
292,1
291,1
290,2
288,2
287,1
286,1
284,1
283,1
282,1
281,1
280,1
279,1
278,1
277,2
276,3
275,1
274,1
273,1
272,2
270,1
269,1
268,2
267,2
266,1
264,3
263,3
262,2
261,2
260,3
257,3
256,1
255,3
254,1
253,2
252,3
250,1
249,1
248,1
245,3
244,1
243,1
241,1
240,3
238,3
237,3
235,1
234,1
233,1
232,3
231,3
230,1
227,1
226,1
225,1
224,3
223,1
222,1
221,1
220,2
219,1
217,1
216,1
215,1
214,2
213,3
212,3
210,1
209,3
208,3
206,1
205,1
202,1
201,3
200,1
199,2
198,3
197,3
196,3
195,1
194,2
193,1
192,1
191,3
190,1
189,1
187,1
186,1
185,3
184,3
183,1
182,1
181,1
180,2
176,1
174,3
173,2
172,3
171,1
170,1
168,1
166,1
165,1
164,3
163,3
162,3
161,1
160,3
158,3
157,3
156,3
155,3
154,1
153,2
152,3
150,1
149,1
148,3
146,2
145,3
144,1
143,1
142,1
141,1
140,1
139,1
138,1
137,3
136,3
135,3
134,1
133,1
132,2
131,3
130,1
129,2
128,1
127,1
126,3
125,1
124,1
123,1
122,1
120,3
119,1
118,1
117,1
116,1
115,1
114,1
113,1
112,1
111,1
110,1
109,1
108,1
107,1
106,3
105,1
104,3
103,3
102,2
101,2
100,1
99,1
98,1
96,3
95,1
94,1
93,2
91,1
90,1
89,1
88,1
87,1
86,1
85,1
84,1
83,1
82,1
80,1
79,2
76,1
75,1
74,1
73,1
72,1
71,1
70,1
69,3
68,1
66,1
65,1
63,1
62,1
61,2
60,3
58,1
57,1
55,1
54,1
53,1
52,1
51,2
50,1
48,3
47,1
46,1
45,2
44,2
43,1
42,2
41,1
39,1
38,1
37,1
36,1
35,1
34,1
33,1
32,1
31,1
30,1
29,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
21,1
20,1
19,1
18,1
17,1
16,1
15,1
14,1
13,2
12,1
11,1
8,1
7,3
6,1
5,1
4,1
3,1
2,1
1,3